coaltypecode,economytypecode,standardclass,transmitstyle,grime_explosive,coalstatecode,design_output,proved_output,mine_waterburst,mine_waterburst_max,target
0.0,0.0,0.0,0.0,0.0,0.25,0.0033333333333333335,0.0036811382713762483,0.05278349190510755,0.009650531211045381,1.0
0.47204628240931823,0.39337190200776556,0.5380404971081539,0.0,0.0,0.1875,2.453410470682197E-4,3.333333333333333E-4,0.01148327352673583,0.002161336433442376,1.0
1.0,0.5385431683485502,0.408881069214876,0.2247191011235955,0.0,0.25,6.666666666666667E-5,6.666666666666667E-5,0.01850467881024411,0.004015202068390937,0.0
0.5,0.0,0.6371115481803455,0.5852703407775376,0.0,0.375,0.001,5.122747160187186E-4,0.04829419791349219,0.008285331611371207,1.0
1.0,0.8333333333333334,0.25,0.11235955056179775,0.11235955056179775,0.25,1.0E-4,1.0E-4,6.482639573059848E-4,2.8012610307504596E-4,1.0
1.0,0.08333333333333333,0.25,0.449438202247191,0.0,0.25,4.4444444444444447E-5,4.4444444444444447E-5,2.6295030239284776E-4,1.7627875547198636E-4,0.0
0.0,0.0,0.0717849710173196,0.5742797681385567,0.0,0.25,0.015247599227128523,0.02,0.09794260834474686,0.014438194258236213,1.0
0.6164189426820086,0.5136824522350075,0.07705236783525113,0.0,0.0692605553575291,0.25,2.94527019105997E-4,7.815915810302182E-4,0.004718590006921429,7.127458470222478E-4,1.0
0.0,0.5385431683485502,0.408881069214876,0.0,0.0,0.25,0.001,0.001,0.01850467881024411,0.004015202068390937,0.0
1.0,0.8333333333333334,0.17424596978644039,0.06809351030432326,0.06809351030432326,0.75,1.535344080569492E-4,1.535344080569492E-4,0.002788859385145537,5.47527498024234E-4,1.0
1.0,0.8333333333333334,0.25,0.33707865168539325,0.11235955056179775,0.25,3.3333333333333335E-5,4.4444444444444447E-5,0.006310807257428346,0.0031730175984957545,0.0
0.0,0.0,0.0,0.0,0.0,0.25,0.001,0.0012777777777777779,0.05521956350249803,0.023356935100038195,0.0
1.0,0.5385431683485502,0.408881069214876,0.449438202247191,0.0,1.0,3.3333333333333335E-5,3.3333333333333335E-5,0.01850467881024411,0.004015202068390937,0.0
0.0,0.0,0.03133358547644547,0.0,0.0,0.25,0.002998216843169163,0.002900734577242444,0.1400697180305754,0.019034748738541808,1.0
0.20749976116769187,0.17291646763974314,0.25,0.0890449706553155,0.11235955056179775,0.25,4.308334129441027E-4,4.308334129441027E-4,0.006300946935093752,0.0013204011946465948,1.0
0.0,0.0,0.04728553159715927,0.06985570193513771,0.0,0.25,9.638070879621239E-4,0.001633976957591216,0.07112601659943833,0.021699622868826027,1.0
1.0,0.8333333333333334,0.13392578107955763,0.03209269601638733,0.11235955056179775,0.25,3.1191145874239477E-4,3.127048615050222E-4,0.004902256449094721,0.001150035257353513,1.0
0.0,0.0,0.0,0.0,0.0,0.25,0.0033333333333333335,0.004986992208204319,0.04129794910239373,0.006340588818925687,1.0
0.5,0.5385431683485502,0.408881069214876,0.0,0.11235955056179775,0.25,0.001,8.444444444444444E-4,0.01850467881024411,0.004015202068390937,1.0
1.0,0.8333333333333334,0.125,0.0,0.0,0.25,6.666666666666667E-5,6.666666666666667E-5,7.888509071785432E-4,1.7627875547198636E-4,0.0
0.5,0.08333333333333333,0.0,0.0,0.0,0.25,6.666666666666666E-4,6.666666666666666E-4,0.003155403628714173,7.344948144666099E-4,0.0
0.0066188639667016606,0.5385431683485502,0.408881069214876,0.0,0.0,0.25,0.001,8.444444444444444E-4,0.01850467881024411,0.004015202068390937,1.0
1.0,0.08333333333333333,0.125,0.449438202247191,0.0,0.25,4.4444444444444447E-5,4.4444444444444447E-5,0.006310807257428346,0.0010576725328319183,0.0
1.0,0.8333333333333334,0.25,0.11235955056179775,0.0,0.25,1.6666666666666666E-4,1.6666666666666666E-4,0.00473310544307126,0.0010282927402532538,0.0
1.0,0.8333333333333334,0.25,0.0,0.11235955056179775,0.375,1.6666666666666666E-4,3.3333333333333335E-5,0.013410465422035235,0.0024972823691864735,0.0
0.0,0.0,0.0,0.0,0.0,0.25,0.002398451120740865,0.0032030977585182684,0.0619585245800178,0.009100909836681546,1.0
1.0,0.8333333333333334,0.25,0.11235955056179775,0.0,0.375,4.4444444444444447E-5,4.4444444444444447E-5,0.0026295030239284773,0.0011751917031465758,0.0
