id,insp_result_code,hs_code,ent_property,consignor_code,trade_mode_code,purpose_code,trade_country_code,prod_reg_no
2169,1.0,0.002561,0.001516,0.013333000000000001,0.0049700000000000005,0.001506,0.00183,0.0035310000000000003
4349,0.0,0.002841,0.001301,0.001848,0.0049700000000000005,0.001506,0.003713,0.009524
1335,1.0,0.005435,0.008799,0.000479,0.0049700000000000005,0.001506,0.002889,0.006944
4901,0.0,0.00038199999999999996,0.004482,0.002179,0.0049700000000000005,0.001506,0.00183,0.0
5282,0.0,0.00038199999999999996,0.001516,0.0,0.000724,0.001506,0.001718,0.0
1875,1.0,0.033874,0.004482,0.033866,0.0049700000000000005,0.015571999999999999,0.006654,0.033736
4347,0.0,0.013299,0.004482,0.010135,0.0049700000000000005,0.015571999999999999,0.00183,0.01087
164,1.0,0.14285699999999998,0.008799,0.012367,0.0049700000000000005,0.001506,0.029862,0.181818
3569,0.0,0.00038199999999999996,0.001516,0.0,2.8000000000000003e-05,0.001506,0.004224,0.0
3497,0.0,0.019868,0.001516,0.006047,0.0049700000000000005,0.015571999999999999,0.004224,0.006014
4568,0.0,0.00036899999999999997,0.001301,0.0,0.000724,0.001506,0.0009939999999999999,0.0
3499,0.0,0.0005,0.001516,0.0,0.000724,0.001506,0.00183,0.0
2544,1.0,0.006718000000000001,0.001516,0.010946,0.000724,0.001506,0.00186,0.010918
1815,1.0,0.014888,0.007215999999999999,0.0016879999999999998,0.0049700000000000005,0.015571999999999999,0.005143,0.0017170000000000002
4114,0.0,0.0028539999999999998,0.008799,0.0,0.0049700000000000005,0.001506,0.003713,0.0
207,1.0,0.027087,0.004482,0.00995,0.0049700000000000005,0.015571999999999999,0.008303,0.009501
3456,0.0,0.00014199999999999998,0.001301,0.0,0.000724,0.001506,0.001842,0.0
3471,0.0,0.00038199999999999996,0.001301,0.0,0.000724,0.001506,0.0009939999999999999,0.0
1677,1.0,0.000734,0.008799,0.000571,0.0049700000000000005,0.001506,0.000916,0.014493
2434,1.0,0.002398,0.007215999999999999,0.028986,0.0049700000000000005,0.001506,0.0032259999999999997,0.009524
2996,0.0,0.002841,0.001301,0.001035,0.0049700000000000005,0.001506,0.00183,0.001035
4200,0.0,0.0005,0.004482,0.000612,0.0049700000000000005,0.001506,0.00183,0.001835
1767,1.0,0.02908,0.008799,0.125523,0.0049700000000000005,0.015571999999999999,0.006654,0.14285699999999998
3233,0.0,0.001462,0.004482,0.00018,0.0049700000000000005,0.001506,0.003283,0.00346
5172,0.0,0.000769,0.004482,0.0,0.0049700000000000005,0.001506,0.00183,0.0
2777,1.0,0.0005,0.001301,0.000715,0.0049700000000000005,0.001506,0.00183,0.0010140000000000001
4743,0.0,0.0,0.001516,0.0,0.000724,0.001506,0.005453,0.0
1351,1.0,0.00038199999999999996,0.007215999999999999,0.000958,0.0049700000000000005,0.001506,0.00183,0.001161
45,1.0,0.006409999999999999,0.001516,0.002545,0.0049700000000000005,0.015571999999999999,0.005025,0.002933
2002,1.0,0.033874,0.004482,0.056133,0.0049700000000000005,0.015571999999999999,0.020656,0.05819
3511,0.0,0.000545,0.001516,0.0,0.000724,0.001506,0.002755,0.0
2439,1.0,0.009306,0.004482,0.018315,0.0049700000000000005,0.009394,0.002889,0.015773
550,1.0,0.030981,0.004482,0.033866,0.0049700000000000005,0.015571999999999999,0.026629000000000003,0.033736
